length,proto,ttl,label
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
71,17,64,benign
70,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
123,17,64,benign
75,17,64,benign
54,6,64,benign
60,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
90,17,64,benign
90,17,64,benign
90,17,64,benign
312,17,64,benign
300,17,64,benign
356,17,64,benign
102,17,64,benign
174,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
71,17,64,benign
70,17,64,benign
78,6,64,benign
54,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
123,17,64,benign
67,17,64,benign
78,17,64,benign
102,17,64,benign
102,17,64,benign
102,17,64,benign
118,17,64,benign
130,17,64,benign
162,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
354,17,64,benign
659,17,64,benign
271,17,64,benign
70,17,64,benign
1294,17,64,benign
349,17,64,benign
269,17,64,benign
659,17,64,benign
70,17,64,benign
165,17,64,benign
165,17,64,benign
67,17,64,benign
73,17,64,benign
244,17,64,benign
74,17,64,benign
66,17,64,benign
78,17,64,benign
73,17,64,benign
1294,17,64,benign
939,17,64,benign
73,17,64,benign
72,17,64,benign
73,17,64,benign
74,17,64,benign
254,17,64,benign
78,17,64,benign
69,17,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
82,17,64,benign
82,17,64,benign
82,17,64,benign
114,17,64,benign
160,17,64,benign
138,17,64,benign
74,6,64,benign
60,6,64,benign
54,6,64,benign
2445,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
146,6,64,benign
60,6,64,benign
1970,6,64,benign
54,6,64,benign
138,6,64,benign
60,6,64,benign
85,6,64,benign
60,6,64,benign
6531,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
442,6,64,benign
60,6,64,benign
4511,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
648,6,64,benign
60,6,64,benign
3196,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
1308,6,64,benign
60,6,64,benign
1045,6,64,benign
54,6,64,benign
122,17,64,benign
73,17,64,benign
1081,6,64,benign
54,6,64,benign
813,6,64,benign
4374,6,64,benign
54,6,64,benign
54,6,64,benign
7091,6,64,benign
54,6,64,benign
85,6,64,benign
60,6,64,benign
79,6,64,benign
54,6,64,benign
85,17,64,benign
85,17,64,benign
85,17,64,benign
281,6,64,benign
1559,6,64,benign
274,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
141,17,64,benign
117,17,64,benign
163,17,64,benign
771,6,64,benign
54,6,64,benign
5143,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
627,6,64,benign
54,6,64,benign
2692,6,64,benign
54,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
6161,6,64,benign
60,6,64,benign
442,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
450,6,64,benign
393,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
103,17,64,benign
172,6,64,benign
7049,6,64,benign
103,17,64,benign
103,17,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
286,17,64,benign
286,17,64,benign
229,17,64,benign
113,17,64,benign
113,17,64,benign
93,6,64,benign
54,6,64,benign
189,17,64,benign
189,17,64,benign
148,6,64,benign
54,6,64,benign
89,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
1294,17,64,benign
808,17,64,benign
72,17,64,benign
73,17,64,benign
1167,17,64,benign
66,17,64,benign
79,17,64,benign
69,17,64,benign
123,17,64,benign
73,17,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
86,17,64,benign
86,17,64,benign
102,17,64,benign
146,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
345,17,64,benign
659,17,64,benign
74,17,64,benign
659,17,64,benign
165,17,64,benign
73,17,64,benign
583,17,64,benign
67,17,64,benign
79,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
123,17,64,benign
73,17,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
71,17,64,benign
69,17,64,benign
54,6,64,benign
60,6,64,benign
85,6,64,benign
60,6,64,benign
79,6,64,benign
54,6,64,benign
123,17,64,benign
74,17,64,benign
54,6,64,benign
60,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
93,6,64,benign
60,6,64,benign
93,6,64,benign
54,6,64,benign
166,6,64,benign
7354,6,64,benign
60,6,64,benign
1955,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
93,6,64,benign
54,6,64,benign
151,6,64,benign
54,6,64,benign
89,6,64,benign
60,6,64,benign
71,17,64,benign
71,17,64,benign
71,17,64,benign
71,17,64,benign
71,17,64,benign
68,17,64,benign
68,17,64,benign
69,17,64,benign
123,17,64,benign
73,17,64,benign
93,6,64,benign
60,6,64,benign
93,6,64,benign
78,6,64,benign
60,6,64,benign
60,6,64,benign
95,17,64,benign
95,17,64,benign
84,17,64,benign
93,6,64,benign
54,6,64,benign
209,17,64,benign
74,6,64,benign
141,17,64,benign
221,17,64,benign
74,6,64,benign
60,6,64,benign
54,6,64,benign
372,6,64,benign
60,6,64,benign
60,6,64,benign
270,6,64,benign
54,6,64,benign
54,6,64,benign
355,6,64,benign
60,6,64,benign
352,6,64,benign
54,6,64,benign
84,17,64,benign
372,6,64,benign
60,6,64,benign
141,17,64,benign
270,6,64,benign
54,6,64,benign
86,6,64,benign
60,6,64,benign
82,6,64,benign
54,6,64,benign
81,17,64,benign
84,17,64,benign
93,17,64,benign
95,17,64,benign
94,17,64,benign
94,17,64,benign
97,17,64,benign
212,17,64,benign
94,17,64,benign
100,17,64,benign
174,17,64,benign
173,17,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
123,17,64,benign
91,17,64,benign
73,17,64,benign
78,17,64,benign
102,17,64,benign
162,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
349,17,64,benign
659,17,64,benign
70,17,64,benign
1294,17,64,benign
1102,17,64,benign
165,17,64,benign
72,17,64,benign
73,17,64,benign
251,17,64,benign
66,17,64,benign
79,17,64,benign
69,17,64,benign
1294,17,64,benign
899,17,64,benign
72,17,64,benign
1256,17,64,benign
67,17,64,benign
74,17,64,benign
79,17,64,benign
1256,17,64,benign
76,17,64,benign
69,17,64,benign
439,17,64,benign
73,17,64,benign
73,17,64,benign
175,17,64,benign
66,17,64,benign
78,17,64,benign
1294,17,64,benign
1108,17,64,benign
68,17,64,benign
73,17,64,benign
73,17,64,benign
187,17,64,benign
67,17,64,benign
79,17,64,benign
69,17,64,benign
453,17,64,benign
73,17,64,benign
73,17,64,benign
111,17,64,benign
66,17,64,benign
78,17,64,benign
1294,17,64,benign
845,17,64,benign
68,17,64,benign
73,17,64,benign
73,17,64,benign
1076,17,64,benign
73,17,64,benign
74,17,64,benign
69,17,64,benign
85,17,64,benign
113,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
84,17,64,benign
715,17,64,benign
1294,17,64,benign
345,17,64,benign
659,17,64,benign
70,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1063,17,64,benign
173,17,64,benign
113,17,64,benign
74,6,64,benign
228,17,64,benign
170,17,64,benign
60,6,64,benign
72,17,64,benign
54,6,64,benign
660,17,64,benign
166,17,64,benign
68,17,64,benign
74,17,64,benign
73,17,64,benign
1953,6,64,benign
60,6,64,benign
60,6,64,benign
503,17,64,benign
66,17,64,benign
69,17,64,benign
78,17,64,benign
1466,6,64,benign
54,6,64,benign
3830,6,64,benign
54,6,64,benign
767,17,64,benign
70,17,64,benign
189,17,64,benign
79,17,64,benign
118,6,64,benign
60,6,64,benign
146,6,64,benign
60,6,64,benign
69,17,64,benign
701,6,64,benign
85,6,64,benign
60,6,64,benign
69,17,64,benign
94,6,64,benign
96,6,64,benign
96,6,64,benign
60,6,64,benign
227,17,64,benign
69,17,64,benign
1116,17,64,benign
95,17,64,benign
78,17,64,benign
97,17,64,benign
97,17,64,benign
69,17,64,benign
113,17,64,benign
125,17,64,benign
74,6,64,benign
74,6,64,benign
74,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
1965,6,64,benign
60,6,64,benign
60,6,64,benign
1965,6,64,benign
60,6,64,benign
60,6,64,benign
1965,6,64,benign
60,6,64,benign
60,6,64,benign
1466,6,64,benign
2878,6,64,benign
1494,6,64,benign
2934,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
2423,6,64,benign
2450,6,64,benign
2394,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
118,6,64,benign
60,6,64,benign
146,6,64,benign
60,6,64,benign
118,6,64,benign
60,6,64,benign
118,6,64,benign
60,6,64,benign
163,6,64,benign
60,6,64,benign
163,6,64,benign
60,6,64,benign
670,6,64,benign
85,6,64,benign
670,6,64,benign
85,6,64,benign
701,6,64,benign
85,6,64,benign
54,6,64,benign
78,6,64,benign
54,6,64,benign
60,6,64,benign
78,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
1294,17,64,benign
753,17,64,benign
72,17,64,benign
73,17,64,benign
270,17,64,benign
66,17,64,benign
79,17,64,benign
69,17,64,benign
108,17,64,benign
108,17,64,benign
186,17,64,benign
198,17,64,benign
74,6,64,benign
60,6,64,benign
54,6,64,benign
1976,6,64,benign
60,6,64,benign
60,6,64,benign
1466,6,64,benign
1494,6,64,benign
54,6,64,benign
54,6,64,benign
373,6,64,benign
54,6,64,benign
118,6,64,benign
60,6,64,benign
146,6,64,benign
60,6,64,benign
364,6,64,benign
60,6,64,benign
672,6,64,benign
85,6,64,benign
60,6,64,benign
85,6,64,benign
177,6,64,benign
54,6,64,benign
93,6,64,benign
60,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
97,17,64,benign
97,17,64,benign
97,17,64,benign
86,17,64,benign
86,17,64,benign
86,17,64,benign
113,17,64,benign
125,17,64,benign
157,17,64,benign
102,17,64,benign
136,17,64,benign
114,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
85,17,64,benign
1294,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
367,17,64,benign
659,17,64,benign
1294,17,64,benign
361,17,64,benign
659,17,64,benign
70,17,64,benign
70,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
428,17,64,benign
1294,17,64,benign
1294,17,64,benign
1256,17,64,benign
165,17,64,benign
68,17,64,benign
72,17,64,benign
73,17,64,benign
165,17,64,benign
72,17,64,benign
73,17,64,benign
1225,17,64,benign
277,17,64,benign
1287,17,64,benign
228,17,64,benign
79,17,64,benign
79,17,64,benign
69,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
1294,17,64,benign
1294,17,64,benign
93,17,64,benign
72,17,64,benign
73,17,64,benign
69,17,64,benign
718,17,64,benign
102,17,64,benign
79,17,64,benign
69,17,64,benign
54,6,64,benign
60,6,64,benign
122,17,64,benign
73,17,64,benign
85,6,64,benign
60,6,64,benign
79,6,64,benign
54,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
82,17,64,benign
82,17,64,benign
82,17,64,benign
160,17,64,benign
138,17,64,benign
114,17,64,benign
71,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
122,17,64,benign
73,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
122,17,64,benign
73,17,64,benign
86,17,64,benign
86,17,64,benign
86,17,64,benign
102,17,64,benign
146,17,64,benign
114,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
85,17,64,benign
85,17,64,benign
1294,17,64,benign
1294,17,64,benign
1294,17,64,benign
349,17,64,benign
659,17,64,benign
74,17,64,benign
271,17,64,benign
165,17,64,benign
73,17,64,benign
577,17,64,benign
67,17,64,benign
79,17,64,benign
69,17,64,benign
93,6,64,benign
60,6,64,benign
93,6,64,benign
54,6,64,benign
93,6,64,benign
60,6,64,benign
93,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
93,6,64,benign
60,6,64,benign
93,6,64,benign
54,6,64,benign
78,6,64,benign
82,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
54,6,64,benign
60,6,64,benign
71,17,64,benign
69,17,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
100,17,64,benign
292,17,64,benign
74,6,64,benign
60,6,64,benign
54,6,64,benign
142,6,64,benign
60,6,64,benign
239,6,64,benign
54,6,64,benign
54,6,64,benign
60,6,64,benign
60,6,64,benign
54,6,64,benign
122,17,64,benign
73,17,64,benign
